fid,cat,field_1,X,stream,reach,seq_order,channel_ty,latitude,longitude,unit_lengt,wetted_wid,max_depth_,pool_crest,LWD_small,LWD_med,LWD_large,root_debri,riparian_s,total_shad,fish_prese,undercut_L,undercut_R,sand,gravel,cobble,boulder,bedrock,dominantSi,dominant_1,understory,understo_1,understo_2,understo_3,understo_4,understo_5,overstoryV,overstor_1,overstor_2,overstor_3,overstor_4,overstor_5,overstor_6,overstor_7,riverDist
"197","197","199","199",Summer Camp Creek,SCC4-15-7,"5123",FTRP2,41.5045371195509,-118.979750574461,"26.5","1","0.13",NA,"0","1","1","2","72","72",N,"0","0","40","35","10","15","0",ST,SS,"50","49","1","45","54","1","2","1","57","6","1","3","50","3",3418.95777696926
"198","198","200","200",Summer Camp Creek,SCC4-15-7,"5123",FTRP2,41.5045371195509,-118.979750574461,"26.5","1","0.13",NA,"0","1","1","2","72","72",N,"0","0","40","35","10","15","0",ST,SS,"50","49","1","45","54","1","2","1","57","6","1","3","50","3",3418.95777696926
"199","199","201","201",Summer Camp Creek,SCC4-15-7,"5123",FTRP2,41.5045371195509,-118.979750574461,"26.5","1","0.13",NA,"0","1","1","2","72","72",N,"0","0","40","35","10","15","0",ST,SS,"50","49","1","45","54","1","2","1","57","6","1","3","50","3",3418.95777696926
"200","200","202","202",Summer Camp Creek,SCC4-15-7,"5123",FTRP2,41.5045371195509,-118.979750574461,"26.5","1","0.13",NA,"0","1","1","2","72","72",N,"0","0","40","35","10","15","0",ST,SS,"50","49","1","45","54","1","2","1","57","6","1","3","50","3",3418.95777696926
"201","201","203","203",Summer Camp Creek,SCC4-15-7,"5124",FTRF3,41.5042754412015,-118.979778544532,"23","1.75","0.1",NA,"1","1","0","2","95","95",N,"5","3","25","43","30","2","0",ST,ST,"55","45","1","45","50","5","1","0","80","5","0","0","63","6",3440.98215879622
"202","202","204","204",Summer Camp Creek,SCC4-15-7,"5125",SSLS2,41.5041424723423,-118.97965468,"2.5","1.25","0.17","0.3","0","0","0","0","88","88",Y,"1.25","0","50","35","15","0","0",ST,ST,"50","49","1","35","55","10","0","0","68","12","0","0","25","5",3459.55252313208
"203","203","205","205",Summer Camp Creek,SCC4-15-7,"5126",FTRF4,41.5041962785058,-118.979668300761,"7.5","1.45","0.13",NA,"0","0","0","0","87","87",Y,"0.5","0","40","35","25","0","0",SS,ST,"60","39","1","45","54","1","0","0","89","10","0","0","40","5",3453.98865944011
"204","204","206","206",Summer Camp Creek,SCC4-15-7,"5127",SSMC3,41.5040505959188,-118.979759711797,"3","2.5","0.19","0.26","1","0","0","0","90","90",N,"0","0","50","40","10","0","0",SP,SS,"60","39","1","42","57","1","0","0","89","6","0","0","51","10",3462.19718453296
"205","205","207","207",Summer Camp Creek,SCC4-15-7,"5128",FTRP5,41.5040874289804,-118.979712909123,"11","1.4","0.11",NA,"0","1","0","1","85","85",N,"0.5","0","40","35","24","1","0",SP,SS,"55","44","1","45","54","1","0","0","88","10","0","0","73","13",3461.38788757261
"206","206","208","208",Summer Camp Creek,SCC4-15-7,"5129",SSPL4,41.5039959649314,-118.979793990833,"2.2","2.5","0.17","2.6","0","1","0","1","85","85",N,"0","1.5","70","27","3","0","0",SP,SS,"52","47","1","42","58","0","0","0","85","7","0","0","80","10",3465.27543054568
"207","207","209","209",Summer Camp Creek,SCC4-15-7,"5130",FTRF6,41.5039963773511,-118.979770040914,"19","1.5","0.13",NA,"0","0","0","0","73","73",N,"4","0","40","30","27","3","0",SP,SS,"55","42","3","55","44","1","0","0","70","8","0","0","72","8",3466.51826443097
"208","208","210","210",Summer Camp Creek,SCC4-15-7,"5131",SSLS5,41.5038797629837,-118.979742525041,"1.3","2.1","0.21","0.25","0","0","0","0","81","81",N,"0","0","55","19","20","6","0",SP,SP,"55","44","1","55","44","1","0","0","85","2","0","0","70","4",3478.46978065401
"209","209","211","211",Summer Camp Creek,SCC4-15-7,"5132",FTRF7,41.5038875277895,-118.97981464898,"16","1.3","0.13",NA,"0","0","0","0","67","67",N,"0","1.8","40","39","20","1","0",SP,SS,"65","34","1","65","34","1","0","0","90","15","0","0","70","20",3473.91750625088
"210","210","212","212",Summer Camp Creek,SCC4-15-7,"5133",FTRP8,41.5036835734383,-118.979628716279,"30","1.8","0.14",NA,"0","0","0","1","70","70",N,"4","2.3","46","25","25","4","0",SS,SS,"95","5","0","64","35","1","0","0","60","20","0","0","35","5",3502.18494097679
"211","211","213","213",Summer Camp Creek,SCC4-15-7,"5134",SSMC6,41.5034875899382,-118.979502933356,"2.3","2.2","0.12","0.26","0","0","0","1","84","84",N,"0","0.3","42","40","10","8","0",SS,SP,"97","3","0","55","45","0","0","0","50","20","0","0","40","10",3526.52150763944
"212","212","214","214",Summer Camp Creek,SCC4-15-7,"5135",FTRP9,41.5035954085031,-118.979518199449,"22","1.43","0.12",NA,"0","1","0","1","70","70",N,"5","5.5","40","38","20","2","0",ST,SS,"97","3","0","55","45","1","0","0","40","5","0","0","70","10",3516.01516099906
"213","213","215","215",Summer Camp Creek,SCC4-15-7,"5136",FTRF10,41.5035266907319,-118.979324407298,"8","2.3","0.1",NA,"0","1","0","1","69","69",N,"0","1","50","25","25","0","0",ST,SS,"97","3","0","55","45","1","0","0","75","5","0","1","35","5",3532.54781376446
"214","214","216","216",Summer Camp Creek,SCC4-15-7,"5137",SSLS7,41.5034550865438,-118.97929826364,"3","2.79","0.15","0.29","0","0","0","1","83","83",N,"0","1.1","60","18","22","0","0",ST,SS,"97","3","0","55","45","0","0","0","55","3","0","0","40","20",3540.3806027245
"215","215","217","217",Summer Camp Creek,SCC4-15-7,"5138",FTRP11,41.5034008680058,-118.979308593068,"12.5","1.35","0.13",NA,"0","1","0","0","77","77",N,"0","3.2","38","29","30","3","0",ST,ST,"97","3","0","55","45","0","0","0","80","5","0","1","40","30",3544.70163185664
"216","216","218","218",Summer Camp Creek,SCC4-15-7,"5139",SSLS8,41.5034500012433,-118.979070467016,"2.7","1.9","0.13","0.29","1","2","0","0","75","75",Y,"1","0","65","18","15","2","0",ST,ST,"95","5","0","50","50","0","0","0","55","25","10","0","40","10",3553.01132240308
"217","217","219","219",Summer Camp Creek,SCC4-15-7,"5140",FTRP12,41.5033208802072,-118.979246250734,"1.7","1.7","0.13",NA,"0","0","0","0","87","87",N,"0","0","60","16","12","12","0",ST,SP,"95","5","0","60","40","0","0","0","65","20","15","0","45","5",3555.22242930851
"218","218","220","220",Summer Camp Creek,SCC5-15-8,"5151",SSPL1,41.4962453810485,-118.97797652535,"1.6","1.1","0.19","0.23","0","0","0","0","79","79",N,"1","0","90","10","0","0","0",SS,SS,"35","40","25","40","35","25","0","0","40","25","0","0","65","75",4373.82068487439
"219","219","221","221",Summer Camp Creek,SCC5-15-8,"5152",FTRF1,41.4962732112475,-118.977929453108,"30.3","0.74","0.14",NA,"0","1","0","1","75","75",N,"3.5","4","50","10","37","3","0",ST,SS,"35","45","20","10","60","30","1","0","15","25","0","0","30","50",4372.63727588946
"220","220","222","222",Summer Camp Creek,SCC5-15-8,"5152",FTRF1,41.4962732112475,-118.977929453108,"30.3","0.74","0.14",NA,"0","1","0","1","75","75",N,"3.5","4","50","10","37","3","0",ST,SS,"35","45","20","10","60","30","1","0","15","25","0","0","30","50",4372.63727588946
"221","221","224","224",Summer Camp Creek,SCC5-15-8,"5154",SSPL2,41.4961134395241,-118.977792812776,"2.7","0.65","0.17","0.31","0","0","0","1","88","88",N,"0","0","60","20","20","0","0",SP,SS,"40","45","15","10","85","5","0","0","45","65","0","0","35","60",4393.85680505894
"222","222","225","225",Summer Camp Creek,SCC5-15-8,"5155",FTRF2,41.4960966711608,-118.977720423748,"19.9","1.4","0.14",NA,"0","1","0","2","97","97",N,"6","5","50","27","22","1","0",SS,SP,"55","42","3","45","50","5","0","0","80","60","0","0","80","35",4398.14165656805
"223","223","226","226",Summer Camp Creek,SCC5-15-8,"5156",SSPL3,41.4959440476614,-118.977691819661,"2.3","2","0.25","0.3","0","0","0","0","89","89",Y,"0","1.5","70","20","9","1","0",SS,SP,"70","30","0","60","40","0","0","0","75","65","0","0","60","70",4414.79908938847
"224","224","227","227",Summer Camp Creek,SCC5-15-8,"5157",FTRP3,41.4959810857816,-118.977633047944,"23.4","1","0.16",NA,"1","0","0","1","70","70",Y,"1.5","7","55","30","14","1","0",SS,SP,"45","45","10","40","40","20","0","0","75","25","0","0","45","30",4413.08619885111
"225","225","228","228",Summer Camp Creek,SCC5-15-8,"5157",FTRP3,41.4959810857816,-118.977633047944,"23.4","1","0.16",NA,"1","0","0","1","70","70",Y,"1.5","7","55","30","14","1","0",SS,SP,"45","45","10","40","40","20","0","0","75","25","0","0","45","30",4413.08619885111
"226","226","229","229",Summer Camp Creek,SCC5-15-8,"5157",FTRP3,41.4959810857816,-118.977633047944,"23.4","1","0.16",NA,"1","0","0","1","70","70",Y,"1.5","7","55","30","14","1","0",SS,SP,"45","45","10","40","40","20","0","0","75","25","0","0","45","30",4413.08619885111
"227","227","230","230",Summer Camp Creek,SCC5-15-8,"5157",FTRP3,41.4959810857816,-118.977633047944,"23.4","1","0.16",NA,"1","0","0","1","70","70",Y,"1.5","7","55","30","14","1","0",SS,SP,"45","45","10","40","40","20","0","0","75","25","0","0","45","30",4413.08619885111
"228","228","231","231",Summer Camp Creek,SCC5-15-8,"5157",FTRP3,41.4959810857816,-118.977633047944,"23.4","1","0.16",NA,"1","0","0","1","70","70",Y,"1.5","7","55","30","14","1","0",SS,SP,"45","45","10","40","40","20","0","0","75","25","0","0","45","30",4413.08619885111
"229","229","232","232",Summer Camp Creek,SCC5-15-8,"5157",FTRP3,41.4959810857816,-118.977633047944,"23.4","1","0.16",NA,"1","0","0","1","70","70",Y,"1.5","7","55","30","14","1","0",SS,SP,"45","45","10","40","40","20","0","0","75","25","0","0","45","30",4413.08619885111
"230","230","233","233",Summer Camp Creek,SCC5-15-8,"5157",FTRP3,41.4959810857816,-118.977633047944,"23.4","1","0.16",NA,"1","0","0","1","70","70",Y,"1.5","7","55","30","14","1","0",SS,SP,"45","45","10","40","40","20","0","0","75","25","0","0","45","30",4413.08619885111
"231","231","234","234",Summer Camp Creek,SCC5-15-8,"5157",FTRP3,41.4959810857816,-118.977633047944,"23.4","1","0.16",NA,"1","0","0","1","70","70",Y,"1.5","7","55","30","14","1","0",SS,SP,"45","45","10","40","40","20","0","0","75","25","0","0","45","30",4413.08619885111
"232","232","235","235",Summer Camp Creek,SCC5-15-8,"5157",FTRP3,41.4959810857816,-118.977633047944,"23.4","1","0.16",NA,"1","0","0","1","70","70",Y,"1.5","7","55","30","14","1","0",SS,SP,"45","45","10","40","40","20","0","0","75","25","0","0","45","30",4413.08619885111
"233","233","236","236",Summer Camp Creek,SCC5-15-8,"5157",FTRP3,41.4959810857816,-118.977633047944,"23.4","1","0.16",NA,"1","0","0","1","70","70",Y,"1.5","7","55","30","14","1","0",SS,SP,"45","45","10","40","40","20","0","0","75","25","0","0","45","30",4413.08619885111
"234","234","237","237",Summer Camp Creek,SCC5-15-8,"5158",SSPL4,41.4956293866287,-118.977658284865,"3","0.81","0.18","0.36","0","0","1","1","79","79",N,"0","1.5","50","30","15","5","0",SS,SS,"45","45","10","35","65","0","0","0","70","5","0","0","75","30",4445.28403488136
"235","235","238","238",Summer Camp Creek,SCC5-15-8,"5159",SSPL5,41.4956201785885,-118.977669984362,"2.8","0.8","0.15","0.4","0","0","0","0","90","90",Y,"0","0","70","15","5","10","0",SS,SS,"45","45","10","35","65","0","0","0","70","5","0","0","75","30",4446.04174259888
"236","236","239","239",Summer Camp Creek,SCC5-15-8,"5160",SSPL6,41.4956756327611,-118.977587813892,"4.1","1.65","0.18","0.38","0","0","0","0","92","92",N,"1","0","52","45","3","0","0",SS,SS,"50","50","0","40","55","5","0","0","75","5","0","0","80","10",4441.71749288539
"237","237","240","240",Summer Camp Creek,SCC5-15-8,"5161",FTRP4,41.4956310342292,-118.977562497395,"22.5","1.1","0.16",NA,"1","2","0","0","88","88",N,"10","8.25","50","25","14","1","0",SS,SS,"55","45","0","30","70","0","0","0","60","30","0","0","70","55",4447.06602026526
"238","238","241","241",Summer Camp Creek,SCC5-15-8,"5162",SSPL7,41.4953896254334,-118.977459314423,"1.5","1.3","0.31","0.37","0","0","0","0","74","74",N,"0.5","0.25","70","25","5","0","0",SS,SS,"55","45","0","40","59","1","0","0","60","20","0","0","85","40",4484.0362801128
"239","239","242","242",Summer Camp Creek,SCC5-15-8,"5163",FTRP5,41.4954166316914,-118.97746013614,"7.8","1.85","0.13",NA,"0","0","0","1","65","65",N,"0","3","50","25","14","1","0",SP,ST,"60","40","0","45","55","0","0","0","60","50","0","0","70","40",4472.3834041141
"240","240","243","243",Summer Camp Creek,SCC5-15-8,"5164",FTCC6,41.4953740923706,-118.977315085957,"3.8","0.95","0.13",NA,"0","0","0","1","83","83",Y,"0","0.5","50","30","15","5","0",SP,SS,"60","40","0","60","40","0","0","0","65","40","0","0","60","20",4491.62437467717
"241","241","244","244",Summer Camp Creek,SCC5-15-8,"5165",FTRP7,41.4954268693567,-118.977388569661,"19.7","1.3","0.15",NA,"0","0","0","0","83","83",N,"1","7","50","25","10","5","0",SS,SS,"40","55","5","70","30","0","0","0","55","30","0","0","80","30",4472.73936650554
"242","242","245","245",Summer Camp Creek,SCC5-15-8,"5166",SSPL8,41.4952478572356,-118.977323224939,"1","0.85","0.22","0.48","0","0","0","0","78","78",N,"0.5","0","50","15","5","30","0",SS,SP,"30","50","20","60","40","0","0","0","40","30","0","0","50","30",4526.5372836541
"243","243","246","246",Summer Camp Creek,SCC5-15-8,"5167",FTRP8,41.4953119014239,-118.977265275253,"13.5","1","0.14",NA,"0","0","0","1","80","80",N,"1","2.5","50","25","24","1","0",SS,SS,"50","45","5","40","60","0","0","0","84","30","0","0","40","30",4527.17159728626
"244","244","247","247",Summer Camp Creek,SCC5-15-8,"5168",SSMC9,41.4951611308934,-118.977128912495,"2.6","1.6","0.16","0.35","0","0","0","1","93","93",N,"1.5","1","50","30","19","1","0",SS,SS,"50","50","0","50","50","0","0","0","90","30","0","0","60","50",4546.13002476331
"245","245","248","248",Summer Camp Creek,SCC5-15-8,"5169",FTRP9,41.4951414794938,-118.977224151556,"9.9","1.9","0.11",NA,"1","1","0","0","83","83",N,"8","2","50","39","10","1","0",SS,SS,"30","65","5","40","60","0","0","0","60","45","0","0","40","45",4540.12797347355
"246","246","249","249",Summer Camp Creek,SCC5-15-8,"5170",SSLS10,41.4951975510401,-118.977106061211,"1.7","1.5","0.17","0.45","0","0","0","0","79","79",N,"1.5","1","50","44","5","1","0",SS,SS,"60","40","0","40","60","0","0","0","80","20","0","0","50","30",4545.73321682367
"247","247","250","250",Mahogany Creek,MC2-326,"91",FNRN1,41.5451172636658,-119.01575599661,"2.5","1.32","0.21",NA,"0","0","0","0","90","90",N,"1","0","90","10","0","0","0",SS,SS,"20","78","2","10","90","0","1","30","0","80","0","95","0","60",5192.89297924659
"248","248","251","251",Mahogany Creek,MC2-326,"92",SSLS1,41.5450816767198,-119.01573091328,"5.8","1.17","0.66","0.1","0","0","0","0","87","87",N,"2","0","93","7","0","0","0",SS,SS,"40","59","1","80","18","2","0","10","0","90","0","95","0","60",5194.52724446987
"249","249","252","252",Mahogany Creek,MC2-326,"93",FTRF2,41.5450835677609,-119.015623072811,"3.6","1.34","0.14",NA,"0","0","0","0","84","84",N,"3.6","0","85","15","0","0","0",SS,SS,"40","59","1","80","17","3","0","10","0","90","0","90","0","20",5203.52405730662
"250","250","253","253",Mahogany Creek,MC2-326,"94",SSLS2,41.5450670349027,-119.015538637553,"3","1.13","0.18","0.07","0","0","0","0","64","64",N,"3","0","85","15","0","0","0",SS,SS,"40","59","1","40","60","3","0","0","0","80","0","90","0","20",5210.33901509692
"251","251","254","254",Mahogany Creek,MC2-326,"95",FTRF3,41.5450756164967,-119.015562881766,"24.3","1.31","0.2",NA,"0","0","0","2","86","86",N,"10","6","80","19","1","0","0",SS,SS,"10","89","1","40","58","2","0","35","0","40","0","90","0","20",5208.43100438218
"252","252","255","255",Mahogany Creek,MC2-326,"96",SSLS3,41.5452058435235,-119.015327151171,"3","2.11","0.24","0.36","0","0","0","1","91","91",N,"3","1.5","90","10","0","0","0",SS,SS,"25","74","1","70","30","0","0","70","0","0","0","80","0","30",5229.70137636668
"253","253","256","256",Mahogany Creek,MC2-326,"97",FTRF4,41.5451800985782,-119.01525441849,"3.25","1.62","0.09",NA,"0","0","0","1","97","97",N,"3.25","0","65","35","0","0","0",SS,SS,"20","79","1","60","40","0","0","65","0","0","0","75","0","20",5235.42544340864
"254","254","257","257",Mahogany Creek,MC2-326,"98",SSMC4,41.5451623050486,-119.015241876944,"3.5","1.65","0.26","0.33","0","0","0","0","85","85",N,"3.5","0","70","30","0","0","0",SS,SS,"40","55","5","80","20","0","0","70","0","0","0","85","0","25",5236.24256359984
"255","255","258","258",Mahogany Creek,MC2-326,"99",FTRF5,41.5451717269881,-119.015218191981,"12","1.6","0.18",NA,"0","0","0","2","92","92",N,"9","10","80","20","0","0","0",SS,SS,"35","65","0","50","50","0","0","65","0","10","0","80","15","60",5238.33309575926
"256","256","259","259",Mahogany Creek,MC2-326,"100",FNRN6,41.5451390807132,-119.015025356878,"3","2","0.16",NA,"0","0","0","1","89","89",N,"2.8","1.5","85","14","1","0","0",SS,SS,"30","70","0","80","20","0","0","55","0","0","0","15","70","30",5253.96231865056
"257","257","260","260",Mahogany Creek,MC2-326,"101",FTRF7,41.5450769082807,-119.014975470605,"25.5","1.45","0.19",NA,"0","0","0","1","84","84",N,"22","10","46","45","8","1","0",SS,SS,"40","58","2","90","10","0","35","40","0","25","0","15","80","80",5257.3220552714
"258","258","261","261",Mahogany Creek,MC2-326,"102",SSLS5,41.5451361697771,-119.01467759088,"9","3.41","0.38","0.36","0","0","0","0","81","81",N,"5","4","95","5","0","0","0",SS,SS,"50","40","10","90","10","0","10","30","0","7","0","40","75","80",5282.8605914947
"259","259","262","262",Mahogany Creek,MC2-326,"103",FNRN8,41.5451993924141,-119.014667565405,"6","1.71","0.2",NA,"0","0","0","0","80","80",N,"1","5.5","90","10","0","0","0",SS,SS,"60","35","5","20","75","5","5","50","0","10","0","80","0","20",5284.49906628497
"260","260","263","263",Mahogany Creek,MC2-326,"104",FTRF9,41.5452098642644,-119.014583968813,"7","1.56","0.13",NA,"0","0","0","2","75","75",N,"2","7","50","50","0","0","0",SS,SS,"30","65","5","50","40","10","5","25","0","10","1","60","0","80",5291.58782137287
"261","261","264","264",Mahogany Creek,MC2-326,"105",SSLS6,41.54516716519,-119.014450765862,"5","2.25","0.44","0.34","0","0","0","0","82","82",N,"1.5","0","90","10","0","0","0",SS,SS,"30","65","5","50","45","5","25","20","0","10","0","75","0","25",5302.12750711728
"262","262","265","265",Mahogany Creek,MC2-326,"106",FTRF10,41.5451502115052,-119.014390295352,"11","1","0.14",NA,"0","0","0","2","89","89",N,"5","0","70","30","0","0","0",SS,SS,"30","65","5","30","60","10","5","60","0","50","0","70","5","60",5306.94317320045
"263","263","266","266",Mahogany Creek,MC2-326,"106",FTRF10,41.5451502115052,-119.014390295352,"11","1","0.14",NA,"0","0","0","2","89","89",N,"5","0","70","30","0","0","0",SS,SS,"30","65","5","30","60","10","5","60","0","50","0","70","5","60",5306.94317320045
"264","264","267","267",Mahogany Creek,MC2-326,"106",FTRF10,41.5451502115052,-119.014390295352,"11","1","0.14",NA,"0","0","0","2","89","89",N,"5","0","70","30","0","0","0",SS,SS,"30","65","5","30","60","10","5","60","0","50","0","70","5","60",5306.94317320045
"265","265","268","268",Mahogany Creek,MC2-326,"106",FTRF10,41.5451502115052,-119.014390295352,"11","1","0.14",NA,"0","0","0","2","89","89",N,"5","0","70","30","0","0","0",SS,SS,"30","65","5","30","60","10","5","60","0","50","0","70","5","60",5306.94317320045
"266","266","269","269",Mahogany Creek,MC2-326,"106",FTRF10,41.5451502115052,-119.014390295352,"11","1","0.14",NA,"0","0","0","2","89","89",N,"5","0","70","30","0","0","0",SS,SS,"30","65","5","30","60","10","5","60","0","50","0","70","5","60",5306.94317320045
"267","267","270","270",Mahogany Creek,MC2-326,"106",FTRF10,41.5451502115052,-119.014390295352,"11","1","0.14",NA,"0","0","0","2","89","89",N,"5","0","70","30","0","0","0",SS,SS,"30","65","5","30","60","10","5","60","0","50","0","70","5","60",5306.94317320045
"268","268","271","271",Mahogany Creek,MC2-326,"106",FTRF10,41.5451502115052,-119.014390295352,"11","1","0.14",NA,"0","0","0","2","89","89",N,"5","0","70","30","0","0","0",SS,SS,"30","65","5","30","60","10","5","60","0","50","0","70","5","60",5306.94317320045
"269","269","272","272",Mahogany Creek,MC2-326,"106",FTRF10,41.5451502115052,-119.014390295352,"11","1","0.14",NA,"0","0","0","2","89","89",N,"5","0","70","30","0","0","0",SS,SS,"30","65","5","30","60","10","5","60","0","50","0","70","5","60",5306.94317320045
"270","270","273","273",Mahogany Creek,MC2-326,"106",FTRF10,41.5451502115052,-119.014390295352,"11","1","0.14",NA,"0","0","0","2","89","89",N,"5","0","70","30","0","0","0",SS,SS,"30","65","5","30","60","10","5","60","0","50","0","70","5","60",5306.94317320045
"271","271","274","274",Mahogany Creek,MC2-326,"106",FTRF10,41.5451502115052,-119.014390295352,"11","1","0.14",NA,"0","0","0","2","89","89",N,"5","0","70","30","0","0","0",SS,SS,"30","65","5","30","60","10","5","60","0","50","0","70","5","60",5306.94317320045
"272","272","275","275",Mahogany Creek,MC2-326,"107",SSLS7,41.5451981601599,-119.01422394061,"3.5","1.05","0.23","0.37","0","0","0","0","85","85",N,"1","2.5","90","10","0","0","0",SS,SS,"30","69","1","25","74","1","0","50","0","55","0","70","0","60",5321.39444948031
"273","273","276","276",Mahogany Creek,MC2-326,"108",FTRF11,41.5451897882422,-119.014187714211,"3.2","1.35","0.13",NA,"0","0","0","0","80","80",N,"0","3.2","65","35","0","0","0",SS,SS,"25","75","0","50","50","0","0","60","0","50","0","80","0","40",5329.14118329152
"274","274","277","277",Mahogany Creek,MC2-326,"109",SSMC8,41.5452000497921,-119.014116099847,"4.5","1.5","0.18","0.34","0","0","0","1","99","99",N,"1","4.5","90","10","0","0","0",SS,SS,"70","30","0","50","50","0","0","80","0","30","0","75","0","50",5334.97540432912
"275","275","278","278",Mahogany Creek,MC2-326,"110",FTRF12,41.5452276850676,-119.014080991317,"7","1.3","0.14",NA,"0","0","0","1","86","86",N,"3.5","1.5","65","35","0","0","0",SS,SS,"70","30","0","50","50","0","0","85","0","40","0","75","0","50",5337.55854600267
"276","276","279","279",Mahogany Creek,MC2-326,"110",FTRF12,41.5452276850676,-119.014080991317,"7","1.3","0.14",NA,"0","0","0","1","86","86",N,"3.5","1.5","65","35","0","0","0",SS,SS,"70","30","0","50","50","0","0","85","0","40","0","75","0","50",5337.55854600267
"277","277","280","280",Summer Camp Creek,SCC3-486,"5091",FTRF1,41.5099287810334,-118.983605451203,"35","1.3","0.13",NA,"1","0","0","0","68","68",N,"0","1","40","48","10","2","0",SS,SS,"25","70","5","25","65","10","5","0","35","5","20","25","15","15",2705.51951689121
"278","278","281","281",Summer Camp Creek,SCC3-486,"5092",SSLS1,41.5097371413218,-118.983228147813,"1","2.1","0.23","0.47","1","0","0","0","86","86",N,"1","0","40","40","2","18","0",SS,SS,"15","80","5","55","40","5","15","0","35","0","10","15","10","60",2757.24978464859
"279","279","282","282",Summer Camp Creek,SCC3-486,"5093",FTRF2,41.5097545256044,-118.983264625484,"21.6","1.4","0.18",NA,"1","1","0","1","77","77",N,"4","0","38","50","10","2","0",SS,SS,"22","73","5","25","70","5","10","0","25","0","30","20","15","5",2753.50603116336
"280","280","283","283",Summer Camp Creek,SCC3-486,"5094",FNRN3,41.5096211478428,-118.983164695015,"4.4","1.8","0.14",NA,"1","0","0","0","77","77",N,"0","3.5","29","65","5","1","0",SS,SS,"10","86","4","20","75","5","5","0","30","5","20","0","20","0",2769.66824016073
"281","281","284","284",Summer Camp Creek,SCC3-486,"5095",FTRF4,41.5096039701061,-118.983116241478,"4.8","1.5","0.16",NA,"1","0","0","1","68","68",N,"0","0","30","40","25","5","0",SS,SS,"10","80","10","25","65","10","5","0","35","5","15","0","10","0",2774.23348870106
"282","282","285","285",Summer Camp Creek,SCC3-486,"5096",SSMC2,41.5096334550733,-118.982973354269,"4.1","1.5","0.24","0.5","0","0","0","1","78","78",N,"0","2","40","35","5","20","0",SS,SS,"20","70","10","20","74","6","1","0","20","5","5","0","15","5",2782.17677357318
"283","283","286","286",Summer Camp Creek,SCC3-486,"5097",FTRF5,41.5096242464742,-118.982985055435,"9.6","1.9","0.16",NA,"0","0","0","0","68","68",N,"3","9","45","35","17","3","0",SS,SS,"10","75","5","15","84","1","1","0","75","5","5","0","15","10",2781.99424064794
"284","284","287","287",Summer Camp Creek,SCC3-486,"5098",SSMC3,41.5094990442532,-118.982933304337,"2","1.55","0.22","0.5","0","0","0","0","80","80",N,"0","1","50","30","5","10","0",SS,SS,"20","75","5","25","72","3","0","0","80","5","7","0","50","5",2794.23013010404
"285","285","288","288",Summer Camp Creek,SCC3-486,"5099",FTRF6,41.5095260503553,-118.982934128736,"34","1.45","0.14",NA,"1","1","0","2","55","55",Y,"11","3","30","35","23","2","0",SS,SS,"15","75","10","30","60","10","0","5","83","5","5","0","55","5",2792.31247185339
"286","286","289","289",Summer Camp Creek,SCC3-486,"5099",FTRF6,41.5095260503553,-118.982934128736,"34","1.45","0.14",NA,"1","1","0","2","55","55",Y,"11","3","30","35","23","2","0",SS,SS,"15","75","10","30","60","10","0","5","83","5","5","0","55","5",2792.31247185339
"287","287","290","290",Summer Camp Creek,SCC3-486,"5099",FTRF6,41.5095260503553,-118.982934128736,"34","1.45","0.14",NA,"1","1","0","2","55","55",Y,"11","3","30","35","23","2","0",SS,SS,"15","75","10","30","60","10","0","5","83","5","5","0","55","5",2792.31247185339
"288","288","291","291",Summer Camp Creek,SCC3-486,"5099",FTRF6,41.5095260503553,-118.982934128736,"34","1.45","0.14",NA,"1","1","0","2","55","55",Y,"11","3","30","35","23","2","0",SS,SS,"15","75","10","30","60","10","0","5","83","5","5","0","55","5",2792.31247185339
"289","289","292","292",Summer Camp Creek,SCC3-486,"5099",FTRF6,41.5095260503553,-118.982934128736,"34","1.45","0.14",NA,"1","1","0","2","55","55",Y,"11","3","30","35","23","2","0",SS,SS,"15","75","10","30","60","10","0","5","83","5","5","0","55","5",2792.31247185339
"290","290","293","293",Summer Camp Creek,SCC3-486,"5099",FTRF6,41.5095260503553,-118.982934128736,"34","1.45","0.14",NA,"1","1","0","2","55","55",Y,"11","3","30","35","23","2","0",SS,SS,"15","75","10","30","60","10","0","5","83","5","5","0","55","5",2792.31247185339
"291","291","294","294",Summer Camp Creek,SCC3-486,"5099",FTRF6,41.5095260503553,-118.982934128736,"34","1.45","0.14",NA,"1","1","0","2","55","55",Y,"11","3","30","35","23","2","0",SS,SS,"15","75","10","30","60","10","0","5","83","5","5","0","55","5",2792.31247185339
"292","292","295","295",Summer Camp Creek,SCC3-486,"5099",FTRF6,41.5095260503553,-118.982934128736,"34","1.45","0.14",NA,"1","1","0","2","55","55",Y,"11","3","30","35","23","2","0",SS,SS,"15","75","10","30","60","10","0","5","83","5","5","0","55","5",2792.31247185339
"293","293","296","296",Summer Camp Creek,SCC3-486,"5099",FTRF6,41.5095260503553,-118.982934128736,"34","1.45","0.14",NA,"1","1","0","2","55","55",Y,"11","3","30","35","23","2","0",SS,SS,"15","75","10","30","60","10","0","5","83","5","5","0","55","5",2792.31247185339
